Station1,Station2,Frequency,Station1_lat,Station1_lon,Station2_lat,Station2_lon
捷運景美站(2號出口),景華街128巷口,15673,24.99366,121.54124,24.99543,121.54725
捷運辛亥站,興旺公園,5781,25.00467,121.55684,25.00587,121.55012
捷運萬隆站(2號出口),興福國中,4827,25.00144,121.53983,25.00465,121.54916
捷運萬隆站(4號出口),興福國中,989,25.0027,121.53861,25.00465,121.54916
捷運萬隆站(4號出口),景美運動公園,832,25.0027,121.53861,25.00219,121.54454
師範大學公館校區,捷運公館站(4號出口),1280,25.00792,121.53731,25.015069,121.533828
仙跡岩登山口(景興路),景興路42巷口,634,24.99118,121.5436,24.99696,121.54454
捷運木柵站,秀明路一段185巷口,767,24.99798,121.57455,24.99151,121.56836
捷運萬芳社區站,文山行政中心,1438,24.99886,121.56769,24.98959,121.56959
文山運動中心,木柵光輝路口,985,24.99676,121.5596,24.98816,121.55528
景行公園,興豐公園,1700,24.99279,121.54255,24.99982,121.54761
興福國中,興豐公園,1150,25.00465,121.54916,24.99982,121.54761
忠順區民活動中心,永安藝文館-表演36房,1064,24.98471,121.56332,24.98414,121.56907
捷運木柵站,文山行政中心,2584,24.99798,121.57455,24.98959,121.56959
捷運萬隆站(2號出口),萬有3號公園,13283,25.00144,121.53983,24.99889,121.5433
文山第二行政中心,興豐公園,675,25.00115,121.55142,24.99982,121.54761
捷運景美站(2號出口),文山第二行政中心,2343,24.99366,121.54124,25.00115,121.55142
捷運動物園站(2號出口),萬興國小,2077,24.99766,121.57875,24.98939,121.57682
捷運景美站(2號出口),試院公園,1551,24.99366,121.54124,24.98808,121.54723
捷運公館站(1號出口),臺灣科技大學後門,6707,25.014529,121.534374,25.01182,121.54165
捷運公館站(1號出口),臺灣科技大學側門,5479,25.014529,121.534374,25.01295,121.53973
捷運公館站(4號出口),臺灣科技大學後門,2529,25.015069,121.533828,25.01182,121.54165
捷運公館站(4號出口),臺灣科技大學側門,2209,25.015069,121.533828,25.01295,121.53973
捷運古亭站(9號出口),王貫英先生紀念圖書館,959,25.02694,121.52224,25.02266,121.52362
和平龍泉街口,捷運古亭站(9號出口),3890,25.02638,121.52971,25.02694,121.52224
捷運古亭站(9號出口),龍興里活動中心,1142,25.02694,121.52224,25.02815,121.51108
捷運古亭站(2號出口),捷運臺電大樓站(1號出口),990,25.0255,121.52346,25.0197,121.529
捷運古亭站(2號出口),河堤國小,7830,25.0255,121.52346,25.02277,121.52289
捷運古亭站(2號出口),紀州庵,22117,25.0255,121.52346,25.02092,121.52049
師大水源路口,捷運臺電大樓站(4號出口),1315,25.0203,121.52302,25.02102,121.52751
南昌公園,牯嶺公園,3637,25.02698,121.52081,25.02338,121.51889
捷運古亭站(2號出口),牯嶺公園,34919,25.0255,121.52346,25.02338,121.51889
和平重慶路口,捷運古亭站(8號出口),21477,25.02723,121.51659,25.02701,121.52164
捷運古亭站(8號出口),螢橋國小,8178,25.02701,121.52164,25.02609,121.51389
南昌公園,國興青年路口,627,25.02698,121.52081,25.02594,121.50651
南昌公園,郵政博物館,865,25.02698,121.52081,25.03158,121.51464
南昌公園,和平重慶路口,11317,25.02698,121.52081,25.02723,121.51659
和平重慶路口,愛國金山路口,771,25.02723,121.51659,25.03164,121.52661
和平重慶路口,捷運古亭站(9號出口),2600,25.02723,121.51659,25.02694,121.52224
捷運古亭站(7號出口),羅斯福路二段6巷口,1701,25.02805,121.52155,25.02923,121.52058
捷運中正紀念堂站(4號出口),林森徐州路口,771,25.03376,121.51772,25.04094,121.52215
中華桂林路口,捷運中正紀念堂站(4號出口),841,25.03771,121.50662,25.03376,121.51772
南昌公園,螢橋國小,6580,25.02698,121.52081,25.02609,121.51389
捷運古亭站(9號出口),永昌公園,634,25.02694,121.52224,25.02643,121.50936
南機場夜市(中華路二段),古亭國中,1324,25.02886,121.50518,25.02442,121.5107
中華桂林路口,南機場夜市(中華路二段),1778,25.03771,121.50662,25.02886,121.50518
南機場夜市(中華路二段),青年公園高爾夫球場,926,25.02886,121.50518,25.02481,121.50755
南機場夜市(中華路二段),捷運小南門站(2號出口),2264,25.02886,121.50518,25.03567,121.51006
南機場夜市(中華路二段),青年公園棒球場,1430,25.02886,121.50518,25.0241,121.50289
華山文創園區,金山信義路口,811,25.04367,121.52849,25.03443,121.52721
