Station1,Station2,Frequency,Station1_lat,Station1_lon,Station2_lat,Station2_lon
捷運景美站(2號出口),萬和三號公園(北側),149,24.99366,121.54124,25.00345,121.53636
景華街128巷口,興豐公園,168,24.99543,121.54725,24.99982,121.54761
木柵公園,臺北轉運站(華陰街),329,24.98718,121.56059,25.04937,121.51914
景行公園,興豐公園,130,24.99279,121.54255,24.99982,121.54761
捷運古亭站(2號出口),羅斯福三段金門街口,849,25.0255,121.52346,25.02345,121.52498
捷運古亭站(2號出口),紀州庵,614,25.0255,121.52346,25.02092,121.52049
南昌公園,和平重慶路口,257,25.02698,121.52081,25.02723,121.51659
捷運善導寺站(3號出口),捷運臺大醫院站(4號出口),141,25.04428,121.52336,25.04297,121.51643
延平南路133巷口,捷運臺大醫院站(1號出口),117,25.03792,121.50846,25.04074,121.51586
捷運臺大醫院站(4號出口),永樂市場,257,25.04297,121.51643,25.05454,121.51052
基隆忠孝路口西南側,臺北轉運站,114,25.04108,121.5629,25.04842,121.51994
捷運忠孝新生站(1號出口),捷運忠孝新生站(2號出口),338,25.04272,121.53207,25.04235,121.53222
光華商場,南京太原路口,109,25.04478,121.53274,25.05366,121.51638
光華商場,基隆忠孝路口西南側,185,25.04478,121.53274,25.04108,121.5629
捷運西門站(3號出口),捷運西門站(5號出口),459,25.04178,121.50869,25.04244,121.50864
捷運西門站(3號出口),永樂市場,162,25.04178,121.50869,25.05454,121.51052
光華商場,捷運西門站(3號出口),106,25.04478,121.53274,25.04178,121.50869
忠孝西重慶南路口,捷運龍山寺站(1號出口),130,25.04724,121.51272,25.03535,121.49938
捷運劍南路站(2號出口),捷運大直站(1號出口),219,25.08401,121.55535,25.0801,121.54708
三興國小,臨江街夜市(基隆路),199,25.02969,121.55766,25.02931,121.55721
中山天母路口,捷運石牌站(2號出口),537,25.11856,121.52964,25.11451,121.51567
士林運動中心,華齡街185巷口,143,25.08911,121.52154,25.08828,121.51985
捷運劍潭站(2號出口),百齡國小,1975,25.08388,121.52535,25.08521,121.51918
下埤公園,第二果菜批發市場,154,25.06682,121.54213,25.06642,121.53735
捷運中山國中站,林森公園,142,25.06106,121.54406,25.05223,121.52581
捷運中山國中站,敦北公園,153,25.06106,121.54406,25.06118,121.55098
捷運中山國中站,民權龍江路口,585,25.06106,121.54406,25.06225,121.54107
捷運行天宮站(3號出口),龍門廣場,129,25.05992,121.5333,25.04092,121.54825
捷運行天宮站(3號出口),民生活動中心,122,25.05992,121.5333,25.05907,121.56305
捷運中山站(2號出口),榮星花園,185,25.05228,121.52176,25.06424,121.54037
捷運中山國小站(4號出口),林安泰古厝,153,25.06283,121.52697,25.07154,121.53058
林安泰古厝,臺北市立美術館_1,127,25.07154,121.53058,25.07063,121.52327
捷運中山站(2號出口),捷運北門站(3號出口),264,25.05228,121.52176,25.04991,121.5104
捷運忠孝敦化站(2號出口),林森長春路口,116,25.04153,121.5524,25.05497,121.52536
捷運中山站(5號出口),林森長春路口,215,25.05296,121.51938,25.05497,121.52536
永樂市場,錦州吉林路口,110,25.05454,121.51052,25.06028,121.52991
中山北路二段59巷口,捷運雙連站(2號出口),222,25.05606,121.5229,25.05826,121.52063
捷運中山國小站(4號出口),新生農安街口,226,25.06283,121.52697,25.06493,121.52778
五常國中,濱江國小游泳池,327,25.06505,121.54366,25.07818,121.56175
文湖街21巷118弄口,碧湖公園,132,25.09122,121.55961,25.07988,121.58287
三軍總醫院,捷運文德站(2號出口),119,25.07151,121.58991,25.07842,121.58464
捷運東湖站,金龍公園,101,25.06664,121.61351,25.08554,121.59076
捷運港墘站(1號出口),麗山國小,223,25.08004,121.57568,25.0826,121.57158
樂群二敬業四路口,舊宗新湖三路口,106,25.07976,121.55813,25.06321,121.57681
捷運北投站,關渡宮,224,25.13187,121.499,25.11739,121.46288
捷運石牌站(2號出口),陽明大學,437,25.11451,121.51567,25.11912,121.51223
北投運動中心,捷運明德站(3號出口),414,25.11666,121.50962,25.11,121.51841
大豐公園,洲美運動公園,102,25.13102,121.50408,25.10981,121.49886
北投公園露天溫泉,捷運新北投站,210,25.13684,121.50792,25.13733,121.50339
光明溫泉路口,捷運北投站(1號出口),440,25.13431,121.50226,25.13258,121.49862
捷運松山站(4號出口),福德公園,231,25.04987,121.57785,25.03841,121.58355
捷運中山站(2號出口),捷運南京三民站(2號出口),250,25.05228,121.52176,25.05136,121.56283
民權復興路口,民權東路三段106巷口,249,25.0622,121.54565,25.062,121.54472
三民路166巷口,捷運南京三民站(1號出口),200,25.0619,121.56328,25.05155,121.5636
健安新城,民生國小(敦化北路199巷),130,25.05606,121.56345,25.05633,121.55286
捷運南京復興站(5號出口),松仁路95巷口,161,25.05168,121.54506,25.03656,121.56866
捷運南京復興站(5號出口),捷運永春站(2號出口),148,25.05168,121.54506,25.0405,121.57538
捷運市政府站(3號出口),臺北田徑場,218,25.04084,121.56789,25.04951,121.54941
捷運中山站(2號出口),臺北田徑場,144,25.05228,121.52176,25.04951,121.54941
捷運大直站(3號出口),饒河疏散門(基四號疏散門),208,25.07923,121.5473,25.05147,121.57683
力行橋(南港),饒河疏散門(基四號疏散門),148,25.05172,121.61686,25.05147,121.57683
捷運松山站(3號出口),松德虎林街口,149,25.04962,121.57746,25.0383,121.5762
捷運松山站(3號出口),松山家商(林口街),155,25.04962,121.57746,25.03593,121.57906
捷運松山站(1號出口),饒河疏散門(基四號疏散門),432,25.05014,121.57692,25.05147,121.57683
捷運小巨蛋站(5號出口)_1,民生光復路口,213,25.05181,121.5521,25.05834,121.55496
捷運南港展覽館站(5號出口),捷運南港展覽館站(7號出口),103,25.05469,121.61669,25.05436,121.6181
南港車站(興華路),東陽公園,258,25.05343,121.60633,25.05716,121.59792
三軍總醫院,九華公園,158,25.07151,121.58991,25.08844,121.56122
捷運港墘站(1號出口),舊宗新湖三路口,125,25.08004,121.57568,25.06321,121.57681
捷運象山站(2號出口),泰和公園,666,25.03222,121.56974,25.0193,121.57105
捷運國父紀念館站(2號出口),象山公園,223,25.04122,121.55745,25.02863,121.56981
松仁路253巷3弄,松山車站,426,25.02678,121.56884,25.0489,121.57841
中全公園,捷運永春站(2號出口),549,25.0382,121.57495,25.0405,121.57538
寶興長泰街口(西南角),西本願寺廣場,148,25.0216,121.49597,25.04099,121.50769
捷運龍山寺站(1號出口),萬華266號綠地,279,25.03535,121.49938,25.0403,121.50197
士林運動中心,捷運關渡站(1號出口),493,25.08911,121.52154,25.12397,121.46712
大豐公園,捷運奇岩站(三合街),494,25.13102,121.50408,25.12634,121.50099
北投運動中心,台北護理大學,224,25.11666,121.50962,25.11752,121.51662
德昌街10巷口,萬大國小(萬大路344巷口),157,25.02533,121.4996,25.02376,121.49986
洛陽停車場,青年公園棒球場,173,25.04776,121.50612,25.0241,121.50289
捷運中山站(2號出口),捷運民權西路站(3號出口),177,25.05228,121.52176,25.06129,121.52021
捷運市政府站(3號出口),福德國小,126,25.04084,121.56789,25.03846,121.58618
吳興公車總站,泰和公園,529,25.02388,121.56984,25.0193,121.57105
捷運南港展覽館站(5號出口),松山車站,193,25.05469,121.61669,25.0489,121.57841
捷運永春站(2號出口),松山高中,166,25.0405,121.57538,25.0433,121.5638
基隆忠孝路口西南側,捷運小巨蛋站(2號出口),100,25.04108,121.5629,25.05157,121.55118
基隆忠孝路口西南側,成功國宅,151,25.04108,121.5629,25.02681,121.54668
松山路292巷口,虎林永吉路口,274,25.0432,121.57789,25.04519,121.57712
基隆忠孝路口西南側,捷運永春站(2號出口),126,25.04108,121.5629,25.0405,121.57538
捷運市政府站(4號出口),捷運永春站(2號出口),190,25.04146,121.56731,25.0405,121.57538
福德國小,福德國小公車站,197,25.03846,121.58618,25.03929,121.58755
信義廣場(台北101),松仁路95巷口,146,25.03306,121.5662,25.03656,121.56866
市民東興路口,臺北南山廣場_1,185,25.0484,121.56586,25.03404,121.56598
和平龍泉街口,臺北南山廣場_1,169,25.02638,121.52971,25.03404,121.56598
捷運南京三民站(1號出口),捷運市政府站(3號出口),120,25.05155,121.5636,25.04084,121.56789
寶興長泰街口(西南角),萬大路486巷口,243,25.0216,121.49597,25.01975,121.4973
國興青年路口,青年公園籃球場,246,25.02594,121.50651,25.02085,121.50539
