date,count,車柱供給量,站點數量
202004,160583,2485,100
202005,167209,2485,100
202006,198897,2485,100
202007,215174,2485,100
202008,204543,2485,100
202009,251591,2485,100
202010,227858,2485,100
202011,232847,2485,100
202012,220527,2485,100
202101,187821,2485,100
202102,153276,2485,100
202103,264545,2485,100
202104,251193,2485,100
202105,269975,7370,292
202106,236110,9825,377
202107,373416,12419,480
202108,601959,14613,564
202109,906934,16771,641
202110,1175422,18276,708
202111,1424950,20375,788
202112,1429135,21281,833
202201,1371395,22494,897
202202,1047153,22965,918
202203,2021983,24515,991
202204,1987820,25670,1043
202205,1599400,26193,1074
202206,2030794,26480,1090
202207,2660347,27078,1115
202208,2890765,27568,1141
202209,2632276,28189,1172
202210,2430187,28788,1206
202211,3019656,29110,1225
202212,2628740,29312,1235
202301,2686167,29369,1239
202302,2837717,29508,1247
202303,3774370,29940,1274
202304,3365049,30002,1278
202305,3641896,30050,1280
202306,3362023,30158,1286
202307,3055147,30273,1293
202308,2722839,30530,1309
202309,2863438,30693,1317
202310,2843257,30693,1317
202311,2941065,30693,1317
