date,rainyDays,bikeUsage
202004,15,160583
202005,15,167209
202006,8,198897
202007,9,215174
202008,13,204543
202009,15,251591
202010,11,227858
202011,10,232847
202012,24,220527
202101,10,187821
202102,7,153276
202103,8,264545
202104,4,251193
202105,6,269975
202106,10,236110
202107,13,373416
202108,17,601959
202109,8,906934
202110,12,1175422
202111,12,1424950
202112,9,1429135
202201,13,1371395
202202,21,1047153
202203,11,2021983
202204,7,1987820
202205,20,1599400
202206,15,2030794
202207,10,2660347
202208,10,2890765
202209,15,2632276
202210,20,2430187
202211,5,3019656
202212,18,2628740
202301,10,2686167
202302,7,2837717
202303,7,3774370
202304,9,3365049
202305,13,3641896
202306,13,3362023
202307,13,3055147
202308,16,2722839
202309,12,2863438
202310,10,2843257
202311,8,2941065
