Month,0-10 mins,10-20 mins,20-30 mins,30-40 mins,40-50 mins,50-60 mins,60-70 mins,70-80 mins,80-90 mins,90-100 mins,100-inf mins,SUM,>60min_Ratio
Jan-23,1316644,695001,287502,118704,69753,48462,31920,23818,18983,14137,61243,2686167,2.28%
Feb-23,1440804,728137,294746,118147,67704,46758,30187,22450,17742,13389,57653,2837717,2.03%
Mar-23,1963658,962734,385473,150240,85711,58253,37077,27550,21169,15560,66945,3774370,1.77%
Apr-23,1682343,862229,351539,140878,82984,57752,38031,29050,22936,17799,79508,3365049,2.36%
May-23,1892383,928789,373324,146352,83842,57728,36296,26856,20985,15266,60075,3641896,1.65%
Jun-23,1783464,846581,330669,130296,74775,52029,32818,24227,18472,13489,55203,3362023,1.64%
Jul-23,1538169,787066,313460,130290,76728,54646,34889,25936,20296,14995,58672,3055147,1.92%
Aug-23,1369089,713762,282844,113552,66234,46622,29732,21751,17150,12550,49553,2722839,1.82%
Sep-23,1431634,750971,303154,119784,69891,48536,31265,23000,17936,13346,53921,2863438,1.88%
Oct-23,1386560,757809,309498,123302,71397,49481,31782,23605,18596,14003,57224,2843257,2.01%
Nov-23,1446411,790146,319905,125177,70717,48900,30634,22796,18078,13118,55183,2941065,1.88%
Dec-23,1353186,735477,292373,114249,63959,43212,27374,20058,15823,11411,48752,2725874,1.79%
SUM,18604345,9558702,3844487,1530971,883695,612379,392005,291097,228166,169063,703932,36818842,1.91%
