date,rainyDays,bikeUsage,supply,stations  
202004,15,160583,2485,100  
202005,15,167209,2485,100  
202006,8,198897,2485,100  
202007,9,215174,2485,100  
202008,13,204543,2485,100  
202009,15,251591,2485,100  
202010,11,227858,2485,100  
202011,10,232847,2485,100  
202012,24,220527,2485,100  
202101,10,187821,2485,100  
202102,7,153276,2485,100  
202103,8,264545,2485,100  
202104,4,251193,2485,100  
202105,6,269975,7370,292  
202106,10,236110,9825,377  
202107,13,373416,12419,480  
202108,17,601959,14613,564  
202109,8,906934,16771,641  
202110,12,1175422,18276,708  
202111,12,1424950,20375,788  
202112,9,1429135,21281,833  
202201,13,1371395,22494,897  
202202,21,1047153,22965,918  
202203,11,2021983,24515,991  
202204,7,1987820,25670,1043  
202205,20,1599400,26193,1074  
202206,15,2030794,26480,1090  
202207,10,2660347,27078,1115  
202208,10,2890765,27568,1141  
202209,15,2632276,28189,1172  
202210,20,2430187,28788,1206  
202211,5,3019656,29110,1225  
202212,18,2628740,29312,1235  
202301,10,2686167,29369,1239  
202302,7,2837717,29508,1247  
202303,7,3774370,29940,1274  
202304,9,3365049,30002,1278  
202305,13,3641896,30050,1280  
202306,13,3362023,30158,1286  
202307,13,3055147,30273,1293  
202308,16,2722839,30530,1309  
202309,12,2863438,30693,1317  
202310,10,2843257,30693,1317  
202311,8,2941065,30693,1317
