,大安區,文山區,信義區,萬華區,中正區,南港區,松山區,大同區,中山區,內湖區,士林區,北投區
大安區,5867066,62082,362202,13537,456775,334,165416,5303,138373,147,15,0
文山區,135912,638738,792,260,39767,0,3,0,28,0,0,2
信義區,500636,2074,2600446,1,2605,92223,143377,9,3843,9445,0,1
萬華區,10571,179,0,747563,167660,0,1,12589,862,0,4,0
中正區,655489,17569,1448,350546,1400212,0,9907,88048,174442,2,72,0
南港區,608,0,187507,0,1,824391,73968,0,30,46049,15,1
松山區,200080,16,305341,15,9034,24838,1395189,2764,213852,32578,6,1
大同區,3008,1,2,59887,45561,1,3007,899087,238723,37,27572,77
中山區,134542,12,2572,5642,122768,6,290507,276354,2339347,114262,20940,38
內湖區,54,0,6689,0,0,16408,21848,1,67182,1129748,134,0
士林區,1,0,1,16,77,3,21,39400,21236,238,1729961,97599
北投區,0,0,1,0,0,0,1,28,12,0,73235,1058590
